"",Symbol,Date,Year,Low,High,Open,Close,Volume
556,SRTRANSFIN,2021-09-17,2021,1355.60,1425.90,1420.00,1360.80,1974145
557,SRTRANSFIN,2021-09-20,2021,1310.75,1371.55,1350.00,1320.10,957690
558,SRTRANSFIN,2021-09-21,2021,1285.75,1335.90,1330.00,1323.75,917028
559,SRTRANSFIN,2021-09-22,2021,1327.00,1353.90,1327.00,1346.50,689948
560,SRTRANSFIN,2021-09-23,2021,1346.55,1385.00,1350.00,1383.10,1185186
561,SRTRANSFIN,2021-09-24,2021,1351.05,1406.80,1395.00,1355.70,1131166
562,SRTRANSFIN,2021-09-27,2021,1314.00,1362.45,1359.50,1324.15,1097991
563,SRTRANSFIN,2021-09-28,2021,1292.60,1345.65,1335.00,1313.20,846327
564,SRTRANSFIN,2021-09-29,2021,1286.00,1311.20,1300.00,1300.35,906441
565,SRTRANSFIN,2021-09-30,2021,1293.00,1327.00,1302.00,1298.85,1596376
566,SRTRANSFIN,2021-10-01,2021,1273.30,1299.55,1293.85,1294.55,926465
567,SRTRANSFIN,2021-10-04,2021,1296.05,1354.00,1301.40,1350.75,1354688
568,SRTRANSFIN,2021-10-05,2021,1324.30,1357.50,1340.00,1335.25,822061
569,SRTRANSFIN,2021-10-06,2021,1298.45,1344.50,1343.25,1303.20,714031
570,SRTRANSFIN,2021-10-06,2021,1298.45,1344.50,1343.25,1303.20,714031
571,SRTRANSFIN,2021-10-07,2021,1315.80,1346.40,1323.20,1343.20,747968
572,SRTRANSFIN,2021-10-08,2021,1323.45,1353.40,1343.20,1330.95,465466
573,SRTRANSFIN,2021-10-11,2021,1325.90,1341.90,1335.90,1334.90,494993
574,SRTRANSFIN,2021-10-12,2021,1320.00,1341.95,1337.00,1324.65,585714
575,SRTRANSFIN,2021-10-13,2021,1326.05,1374.80,1338.00,1366.40,1488487
576,SRTRANSFIN,2021-10-14,2021,1356.80,1399.10,1378.45,1383.55,1775682
577,SRTRANSFIN,2021-10-18,2021,1380.25,1416.70,1403.70,1395.20,1179881
578,SRTRANSFIN,2021-10-19,2021,1383.70,1458.00,1400.20,1427.45,2982009
579,SRTRANSFIN,2021-10-20,2021,1406.80,1474.65,1437.80,1438.70,2012398
580,SRTRANSFIN,2021-10-21,2021,1441.15,1500.00,1451.55,1490.85,2339585
581,SRTRANSFIN,2021-10-22,2021,1485.35,1558.80,1499.00,1518.60,3889218
582,SRTRANSFIN,2021-10-25,2021,1478.55,1540.25,1540.25,1516.90,1771779
583,SRTRANSFIN,2021-10-26,2021,1496.60,1588.00,1500.10,1525.90,1997703
584,SRTRANSFIN,2021-10-27,2021,1517.00,1558.00,1539.00,1528.35,935794
585,SRTRANSFIN,2021-10-28,2021,1469.55,1527.95,1527.95,1488.70,1120864
586,SRTRANSFIN,2021-10-29,2021,1425.00,1500.00,1500.00,1436.20,1394463
587,SRTRANSFIN,2021-11-01,2021,1389.35,1455.00,1455.00,1430.70,1703443
588,SRTRANSFIN,2021-11-02,2021,1432.25,1624.70,1440.00,1576.20,3326480
589,SRTRANSFIN,2021-11-03,2021,1558.75,1643.75,1579.00,1602.65,3163379
590,SRTRANSFIN,2021-11-04,2021,1608.00,1625.95,1610.00,1617.15,214301
